card_id,anki_guid,authoring_note_id
PYI_01_001,lwRuUCv3+*,1788409800670
PYI_01_002,tr{j0t}hwg,1788409800671
PYI_01_003,"woa~sL,>%,",1788409800672
PYI_01_004,s}r[E]:~sK,1788409800673
PYI_01_005,l%+a[n^J.?,1788409800674
PYI_01_006,"Qq,CH>u0nd",1788409800675
PYI_01_007,"sZy>;1i*,a",1788409800676
PYI_01_008,b5}M(Luw[6,1788409800677
PYI_01_009,II1w=RNV:$,1788409800678
PYI_01_010,fKA[~x3D*<,1788409800679
PYI_01_011,F9@4Q|/n=/,1788409800680
PYI_01_012,pz9zqv::g>,1788409800681
PYI_02_001,uybtvL7HPO,1788409800682
PYI_02_002,oqi?J=Ix?=,1788409800683
PYI_02_003,cd74kUn$zS,1788409800684
PYI_02_004,"P}x9z=R4-,",1788409800685
PYI_02_005,hFg3tvIejn,1788409800686
PYI_02_006,v|xBfr%Z1K,1788409800687
PYI_02_007,v!7~w?(_Hg,1788409800688
PYI_02_008,D43(e.A>}Z,1788409800689
PYI_02_009,_wtNQU1dL,1788409800690
PYI_02_010,LSi9hh7bxD,1788409800691
PYI_02_011,Hv4k[S=$yn,1788409800692
PYI_02_012,Qq:(ky=sL},1788409800693
PYI_02_013,f*pXKlY{zd,1788409800694
PYI_02_014,O>62$YeCXZ,1788409800695
PYI_03_001,f0+7)o$^6+,1788409800696
PYI_03_002,G_53@nan+!,1788409800697
PYI_03_003,N[q?v:yWNQ,1788409800698
PYI_03_004,nJu=Q;mLZ&,1788409800699
PYI_03_005,O%K6PGUu]P,1788409800700
PYI_03_006,i;9YMHhbwc,1788409800701
PYI_03_007,K!3XI;3Vv2,1788409800702
PYI_03_008,t./{;B45T+,1788409800703
PYI_03_009,J-Rz>WLT-Z,1788409800704
PYI_03_010,j:?kr+$ylf,1788409800705
PYI_03_011,PlSpbC+LrS,1788409800706
PYI_03_012,m)0^>SR`m[,1788409800707
PYI_03_013,dA@POYYX5b,1788409800708
PYI_03_014,x.MpQu6vfB,1788409800709
PYI_03_015,r$v24Ju;jq,1788409800710
PYI_03_016,L-8?Js3]i%,1788409800711
PYI_03_017,m6ROzM+I@y,1788409800712
PYI_03_018,xQA_Mm]k2A,1788409800713
PYI_03_019,jkW=W/.Z+6,1788409800714
PYI_03_020,y9bE5$q7[k,1788409800715
PYI_03_021,bfbwldL2Q8,1788409800716
PYI_03_022,L$M&_Z|<rF,1788409800717
PYI_04_001,CLH*bkSoWQ,1788409800718
PYI_04_002,Em9Bi`H{~F,1788409800719
PYI_04_003,zF?[@SO6`+,1788409800720
PYI_04_004,LgZpVCNjBM,1788409800721
PYI_04_005,J_icL1[3&O,1788409800722
PYI_04_006,v}(Up(ee:>,1788409800723
PYI_04_007,HqZ>X)]aU^,1788409800724
PYI_04_008,kN1.i^=2nf,1788409800725
