ref_tag,source_file,question_ordinal,start_line,end_line,popularity_score,answer_ref
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_01,architecture/architecture_patterns.md,1,3,37,20,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L3-L37
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_02,architecture/architecture_patterns.md,2,38,93,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L38-L93
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_03,architecture/architecture_patterns.md,3,94,174,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L94-L174
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_04,architecture/architecture_patterns.md,4,175,214,13,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L175-L214
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_05,architecture/architecture_patterns.md,5,215,242,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L215-L242
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_06,architecture/architecture_patterns.md,6,243,330,26,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L243-L330
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_07,architecture/architecture_patterns.md,7,331,339,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L331-L339
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_08,architecture/architecture_patterns.md,8,340,408,19,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L340-L408
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_09,architecture/architecture_patterns.md,9,409,488,26,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L409-L488
TV_ARCHITECTURE_ARCHITECTURE_PATTERNS_10,architecture/architecture_patterns.md,10,489,598,,https://github.com/tavor118/pj_python_interview_questions_and_answers/blob/02d57a7a9f34fd386eb8aa5c0094fe3f3c3ba141/docs/architecture/architecture_patterns.md#L489-L598
